200 200
42 68 34
101 170 124
79 159 262
65 106 245
82 28 61
92 196 242
28 37 291
5 103 153
93 183 21
117 119 95
48 127 71
139 70 112
68 100 235
95 104 111
123 134 273
65 142 211
54 69 47
45 63 57
38 60 23
142 130 178
117 36 290
43 89 106
41 143 64
49 47 105
91 130 70
151 7 201
194 149 129
24 85 154
157 41 166
177 132 208
145 40 26
124 138 238
119 83 129
142 34 215
40 59 204
131 178 206
74 187 221
146 125 172
71 30 77
174 98 12
187 91 161
37 156 167
56 175 131
53 151 250
142 125 166
31 108 191
8 138 157
88 154 183
146 110 109
159 22 288
23 147 206
31 14 68
101 192 162
56 11 59
25 138 248
84 196 141
3 151 91
37 175 220
197 22 48
200 69 184
82 135 53
200 19 38
101 189 127
68 129 193
49 84 107
22 111 17
14 115 209
17 136 51
1 50 19
157 199 3
25 9 144
10 190 2
196 86 93
144 124 87
115 104 248
1 59 18
181 197 98
82 190 98
10 158 72
23 139 292
39 180 190
58 159 191
16 89 256
112 3 234
73 56 228
47 163 86
76 34 169
143 45 216
82 199 122
52 22 299
158 77 292
190 76 212
1 111 3
70 62 288
2 190 255
24 3 85
183 86 88
27 18 57
33 133 269
155 122 89
177 130 268
93 26 55
35 150 241
113 146 60
119 154 239
24 80 196
88 130 49
38 67 49
194 196 297
17 87 205
89 83 155
135 115 1
117 72 86
64 114 55
186 54 12
9 33 245
114 157 121
159 47 82
82 145 96
23 130 61
136 51 73
67 45 59
93 40 153
25 155 110
146 50 286
114 75 122
169 19 187
106 159 191
3 26 77
15 115 24
135 75 72
160 34 170
88 98 18
178 174 170
164 69 92
186 103 80
14 28 2
100 128 225
144 125 223
173 62 81
4 33 105
194 126 131
93 143 122
87 65 100
188 161 213
175 71 70
36 34 211
161 97 167
86 151 140
95 96 24
20 126 176
95 59 202
172 67 178
194 52 284
19 65 119
153 1 87
61 127 10
158 171 215
177 28 43
159 165 9
83 87 165
88 178 74
26 28 229
129 24 20
103 163 123
197 138 61
196 126 64
61 3 16
31 127 211
172 12 47
154 121 90
125 189 163
141 52 62
30 101 13
159 179 265
8 78 0
59 40 203
161 158 224
78 109 113
88 2 50
61 29 93
185 6 240
112 105 235
157 73 250
24 86 156
17 27 57
127 158 237
72 70 261
97 23 217
113 118 96
186 42 123
130 30 65
160 133 96
56 54 162
185 135 54
173 58 269
133 164 207
84 112 235
68 49 175
139 24 242
