"id";"date_of_publication";"author_id";"film_id";"rating";"editor_id";"agreement"
1;03.07.2012 0:00:00;18;1;9.40;1;True
2;28.03.2013 0:00:00;17;2;7.18;4;True
3;14.02.2015 0:00:00;40;26;0.50;2;True
4;21.05.2012 0:00:00;32;21;9.31;1;False
5;10.08.2014 0:00:00;42;23;9.58;3;True
6;06.03.2013 0:00:00;31;7;5.66;1;False
7;02.10.2013 0:00:00;6;26;0.52;1;True
8;27.08.2012 0:00:00;13;7;6.35;4;False
9;15.04.2016 0:00:00;1;23;6.19;2;True
10;22.03.2012 0:00:00;31;2;3.37;4;True
11;04.05.2014 0:00:00;8;16;7.7;1;False
12;24.02.2016 0:00:00;42;10;9.15;5;True
13;19.11.2013 0:00:00;28;13;1.14;2;True
14;10.07.2016 0:00:00;40;10;3.38;5;True
15;08.04.2016 0:00:00;39;11;0.67;3;False
16;04.10.2013 0:00:00;33;1;1.22;3;True
17;09.04.2014 0:00:00;30;18;2.71;4;False
18;22.09.2014 0:00:00;1;28;2.95;3;False
19;10.07.2016 0:00:00;37;12;4.19;1;False
20;10.10.2013 0:00:00;18;22;4.4;1;True
21;17.11.2015 0:00:00;29;6;1.41;4;True
22;27.06.2013 0:00:00;24;5;9.1;1;False
23;04.01.2014 0:00:00;17;3;0.81;5;False
24;21.02.2016 0:00:00;35;11;9.40;1;False
25;06.10.2014 0:00:00;33;27;6.65;5;True
26;25.10.2016 0:00:00;6;17;0.78;4;True
27;04.03.2014 0:00:00;23;6;1.10;3;True
28;04.09.2015 0:00:00;5;26;5.32;2;False
29;12.09.2013 0:00:00;12;19;3.76;2;False
30;10.01.2015 0:00:00;40;4;9.14;1;False
31;22.06.2012 0:00:00;11;1;6.8;4;True
32;14.07.2014 0:00:00;37;24;6.69;5;True
33;14.02.2016 0:00:00;10;24;0.36;4;False
34;17.05.2012 0:00:00;20;23;1.54;3;False
35;20.02.2014 0:00:00;27;27;4.84;4;True
36;11.06.2014 0:00:00;16;14;6.45;2;False
37;04.10.2016 0:00:00;39;22;6.21;5;True
38;02.06.2015 0:00:00;28;21;2.13;3;False
39;10.07.2012 0:00:00;37;12;6.85;5;False
40;27.04.2016 0:00:00;37;5;4.70;4;True
41;26.11.2014 0:00:00;26;20;9.2;4;False
42;12.04.2015 0:00:00;32;19;1.53;4;True
43;28.06.2014 0:00:00;28;15;9.83;2;False
44;22.10.2014 0:00:00;16;1;4.89;1;True
45;17.11.2016 0:00:00;3;25;0.32;5;False
